dataUID,date,description,link,country,competitionClass
"8e412a9a-ea88-40c6-b8e4-98104a392830","21 Feb 2021","Internationale Sluitingsprijs Ostmalle","https://dataride.uci.org/iframe/CompetitionResults/60603?disciplineId=3",BEL,C1
"0f7cba97-ddce-444a-92e7-1fa0f038804a","21 Feb 2021","Portugese National Championships","https://dataride.uci.org/iframe/CompetitionResults/62785?disciplineId=3",POR,CN
"e521adcb-cd66-4f4a-a0e2-e7620741d29a","21 Feb 2021","Championnats de France de Cyclo-cross - catégories Juniors","https://dataride.uci.org/iframe/CompetitionResults/64735?disciplineId=3",FRA,CN
"4b4e0d03-43dd-46f3-9a44-b4cfd90f9c8a","20 Feb 2021",Waaslandcross,"https://dataride.uci.org/iframe/CompetitionResults/60602?disciplineId=3",BEL,C2
"ff293813-a33b-46a4-a197-7649c179e4a7","14 Feb 2021","X²0 badkamers Trofee - Brussels Universities Cyclocross","https://dataride.uci.org/iframe/CompetitionResults/60595?disciplineId=3",BEL,C1
"0f8fee76-0e3e-473c-9927-c1c508477053","13 Feb 2021","cross Eeklo","https://dataride.uci.org/iframe/CompetitionResults/60478?disciplineId=3",BEL,C2
"d59e1c06-4aeb-432c-bd5d-df18951b55e0","07 Feb 2021","X²0 badkamers Trofee - Krawatencross","https://dataride.uci.org/iframe/CompetitionResults/60599?disciplineId=3",BEL,C1
"ed543c15-49d6-4ece-b0ca-5d7eb64e9c6b","06 Feb 2021","Telenet Superprestige - Middelkerke","https://dataride.uci.org/iframe/CompetitionResults/60598?disciplineId=3",BEL,C1
"47d322a5-5774-4210-b4c8-b7b2ce7f8420","30 Jan-31 Jan 2021","UCI Cyclo-cross World Championships","https://dataride.uci.org/iframe/CompetitionResults/60615?disciplineId=3",BEL,CM
"6b3c9dc0-5ef6-459b-9427-082511aa4e6f","24 Jan 2021","2020-2021 UCI Cyclo-cross World Cup, Overijse","https://dataride.uci.org/iframe/CompetitionResults/60468?disciplineId=3",BEL,CDM
"befb557a-5c07-4059-90b6-b2b7a643c7c0","23 Jan 2021","X²0 badkamers Trofee - Flandriencross","https://dataride.uci.org/iframe/CompetitionResults/60601?disciplineId=3",BEL,C1
"e37ecd39-0448-453e-a3db-9ec42b314fcd","23 Jan-24 Jan 2021","Polish National Championships","https://dataride.uci.org/iframe/CompetitionResults/64488?disciplineId=3",POL,CN
"b134c24f-bf2e-43e3-821c-22ba146e07a4","16 Jan 2021","Lampiris Zilvermeercross","https://dataride.uci.org/iframe/CompetitionResults/60592?disciplineId=3",BEL,C1
"0896fc4d-c1fd-4dde-bab9-00263ce34fbb","10 Jan 2021",Crossquer,"https://dataride.uci.org/iframe/CompetitionResults/60590?disciplineId=3",SUI,CN
"e2eb7184-08c5-4a22-946f-086746b9831c","10 Jan 2021","Danish National Championships","https://dataride.uci.org/iframe/CompetitionResults/60614?disciplineId=3",DEN,CN
"fb599f36-2902-4c25-b62f-c1c82a9fc4e9","09 Jan 2021","Championnat National de la Rep. Tcheque ME","https://dataride.uci.org/iframe/CompetitionResults/60586?disciplineId=3",CZE,CN
"4aa612db-b7f8-4565-bad5-a0cf4d058110","09 Jan-10 Jan 2021","Championnats de France de Cyclo-cross","https://dataride.uci.org/iframe/CompetitionResults/60587?disciplineId=3",FRA,CN
"9f13f825-17f4-4755-8ae1-0aa2b91924bc","09 Jan-10 Jan 2021","Belgian National Championships","https://dataride.uci.org/iframe/CompetitionResults/60607?disciplineId=3",BEL,CN
"d6831120-4365-44c8-ae98-89d6b23e78e6","09 Jan-10 Jan 2021","Italian National Championships","https://dataride.uci.org/iframe/CompetitionResults/62710?disciplineId=3",ITA,CN
"e3a514de-5260-4ed8-ba16-5ce0731a1cb0","09 Jan-10 Jan 2021","Austrian National Championships","https://dataride.uci.org/iframe/CompetitionResults/64474?disciplineId=3",AUT,CN
"f4993465-b8e0-4ab5-83f7-0feb5a082ce6","09 Jan-10 Jan 2021","Hungarian national championships","https://dataride.uci.org/iframe/CompetitionResults/64532?disciplineId=3",HUN,CN
"0e702613-7de0-4211-bcec-1c615fbbd5cb","08 Jan-10 Jan 2021","Spanish National Championships","https://dataride.uci.org/iframe/CompetitionResults/64531?disciplineId=3",ESP,CN
