dataUID,date,description,link,country,competitionClass
"0b649db6-d144-47d1-aa3a-68f9b562e61b","23 Feb 2020","Internationale Sluitingsprijs Oostmalle","https://dataride.uci.org/iframe/CompetitionResults/57835?disciplineId=3",BEL,C1
"be640186-f7b8-47e9-82fb-60e966a338de","22 Feb 2020","GP Leuven","https://dataride.uci.org/iframe/CompetitionResults/57834?disciplineId=3",BEL,C1
"ae03dfc1-7fde-4753-bea1-64f7c777fc3a","16 Feb 2020","Vestingcross Hulst","https://dataride.uci.org/iframe/CompetitionResults/57918?disciplineId=3",NED,C1
"68ccc44e-02d1-49cb-a319-63c4028e5ee1","15 Feb 2020","Telenet Superprestige Middelkerke","https://dataride.uci.org/iframe/CompetitionResults/57833?disciplineId=3",BEL,C1
"e3db7693-fbeb-4308-9c42-34dcc0276ea9","08 Feb 2020","DVV Verzekeringen trofee Krawatencross","https://dataride.uci.org/iframe/CompetitionResults/57831?disciplineId=3",BEL,C1
"4996d91b-11b8-42b1-929e-752e91f3253d","05 Feb 2020","Parkcross Maldegem","https://dataride.uci.org/iframe/CompetitionResults/57830?disciplineId=3",BEL,C2
"060dd369-29da-4b3f-a631-9780de159295","01 Feb-02 Feb 2020","UCI Cyclo-cross World Championships","https://dataride.uci.org/iframe/CompetitionResults/57738?disciplineId=3",SUI,CM
"2cdbd109-58b3-4f54-94f4-a3286813404d","26 Jan 2020","2019-2020 Telenet UCI Cyclo-cross World Cup, Hoogerheide Provincie Noord-Brabant","https://dataride.uci.org/iframe/CompetitionResults/57747?disciplineId=3",NED,CDM
"f211886f-fcd3-411d-ac4a-4b50767bd5b6","25 Jan 2020","Kasteelcross Zonnebeke","https://dataride.uci.org/iframe/CompetitionResults/57829?disciplineId=3",BEL,C2
"3c4e625a-3b7d-4f5b-b8ac-f49d50a0df49","19 Jan 2020","2019-2020 Telenet UCI Cyclo-cross World Cup, Nommay Pays de Montbeliard","https://dataride.uci.org/iframe/CompetitionResults/57748?disciplineId=3",FRA,CDM
"e8c43047-0e35-4339-a866-a935ce27b23b","19 Jan 2020","ZAO-sama Cup Tohoku CX Series","https://dataride.uci.org/iframe/CompetitionResults/57904?disciplineId=3",JPN,C2
"ee3a353c-858b-4265-abee-7359bb66bb9b","19 Jan 2020","Grand Prix Möbel Alvisse","https://dataride.uci.org/iframe/CompetitionResults/57906?disciplineId=3",LUX,C2
"4ab13a4b-200f-4e16-a3be-bb9888a57075","13 Jan 2020","Cyclocross Otegem","https://dataride.uci.org/iframe/CompetitionResults/57828?disciplineId=3",BEL,C2
"a49ae77b-ef7b-413c-860a-826ab6412baa","12 Jan 2020","Czech National Championships - ME, WE","https://dataride.uci.org/iframe/CompetitionResults/57915?disciplineId=3",CZE,CN
"6bb51ad0-f117-4902-962e-4d5e15a58791","12 Jan 2020","Danish National Championships","https://dataride.uci.org/iframe/CompetitionResults/57939?disciplineId=3",DEN,CN
"b87b3cd8-7299-4472-a6e1-5c8908441c2e","12 Jan 2020","Swiss National Championships","https://dataride.uci.org/iframe/CompetitionResults/57940?disciplineId=3",SUI,CN
"df7d0e9e-4902-4fa2-9ec4-d946b0c4049b","12 Jan 2020","Irish National Championships","https://dataride.uci.org/iframe/CompetitionResults/58577?disciplineId=3",IRL,CN
"354efb5b-5f32-4e67-b0d1-90f442b8cbf3","12 Jan 2020","Hungarian national championships","https://dataride.uci.org/iframe/CompetitionResults/59095?disciplineId=3",HUN,CN
"fa82cc14-b3fb-4a38-bdf5-db2a6f2e665a","12 Jan 2020","Croatian national championships","https://dataride.uci.org/iframe/CompetitionResults/59770?disciplineId=3",CRO,CN
"6deb4d39-195a-4e9a-a055-cd498759faa3","11 Jan-12 Jan 2020","Italian National Championships","https://dataride.uci.org/iframe/CompetitionResults/57846?disciplineId=3",ITA,CN
"f0f42169-f07f-4b54-be3e-f53dfac4f523","11 Jan-12 Jan 2020","Swedish National Championships","https://dataride.uci.org/iframe/CompetitionResults/57855?disciplineId=3",SWE,CN
"50f5122f-873f-4351-9ffe-034827896403","11 Jan-12 Jan 2020","British National Championships","https://dataride.uci.org/iframe/CompetitionResults/57936?disciplineId=3",GBR,CN
"05c69d6a-af9b-4a4b-be17-baa4067aa594","11 Jan-12 Jan 2020","Dutch National Championships","https://dataride.uci.org/iframe/CompetitionResults/57937?disciplineId=3",NED,CN
"21bb86bd-0768-49af-b29d-5c6d6d4ffa0d","11 Jan-12 Jan 2020","French National Championships","https://dataride.uci.org/iframe/CompetitionResults/57938?disciplineId=3",FRA,CN
"be54a3d4-b0a9-48b7-99cc-5d60b2d35fae","11 Jan-12 Jan 2020","German National Championships","https://dataride.uci.org/iframe/CompetitionResults/57942?disciplineId=3",GER,CN
"7a60c33b-cbdb-4f49-81f6-637dea70cb4a","11 Jan-12 Jan 2020","Belgian National Championships","https://dataride.uci.org/iframe/CompetitionResults/58426?disciplineId=3",BEL,CN
